bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
upper legs,body weight,1476_one_leg_squat,one leg squat,glutes,quadriceps,hamstrings,Stand with your feet shoulder-width apart.,"Extend one leg forward, keeping it off the ground.",Bend your standing leg and lower your body down as if sitting back into a chair.,Keep your chest up and your back straight.,Push through your heel to return to the starting position.,Repeat with the other leg.,calves,,,,,,,,
waist,weighted,0641_otis_up,otis up,abs,hip flexors,lower back,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,body weight,0642_outside_leg_kick_push_up,outside leg kick push-up,glutes,quadriceps,hamstrings,Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together.,"Lower your body towards the ground by bending your elbows, keeping your back straight and core engaged.","As you push back up, kick one leg out to the side, extending it fully and engaging your glutes.","Return your leg to the starting position and repeat the push-up, alternating legs with each repetition.",Continue alternating leg kicks and push-ups for the desired number of repetitions.,,calves,,,,,,,,
upper arms,body weight,0643_overhead_triceps_stretch,overhead triceps stretch,triceps,shoulders,,Stand or sit upright with your feet shoulder-width apart.,"Extend one arm overhead, bending at the elbow so that your hand reaches towards the opposite shoulder blade.","With your other hand, gently pull the elbow of the extended arm towards the opposite side of your head, feeling a stretch in your triceps.","Hold the stretch for 15-30 seconds, then release.",Repeat on the other side.,,,,,,,,,,
waist,body weight,3147_pelvic_tilt,pelvic tilt,abs,lower back,,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands by your sides.,"Engage your abs and tilt your pelvis upward, pressing your lower back into the ground.","Hold this position for a few seconds, focusing on contracting your abs.",Release the tilt and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,body weight,1422_pelvic_tilt_into_bridge,pelvic tilt into bridge,glutes,hamstrings,core,Lie on your back with your knees bent and feet flat on the ground.,Place your arms by your sides with your palms facing down.,Engage your glutes and core muscles.,"Tilt your pelvis upward, lifting your hips off the ground.",Hold the bridge position for a few seconds.,Slowly lower your hips back down to the starting position.,,Repeat for the desired number of repetitions.,,,,,,,
lower legs,rope,1388_peroneals_stretch,peroneals stretch,calves,ankles,feet,Sit on the ground with your legs extended in front of you.,Loop the rope around the ball of your foot and hold the ends of the rope with your hands.,"Gently pull the rope towards you, flexing your foot and stretching your calf muscles.",Hold the stretch for 15-30 seconds.,Release the tension on the rope and repeat the stretch on the other leg.,Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,body weight,3662_pike_to_cobra_push_up,pike-to-cobra push-up,glutes,core,shoulders,Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together.,"Engage your core and lift your hips up towards the ceiling, forming an inverted V shape with your body.","Lower your upper body towards the ground by bending your elbows, keeping them close to your body.","As you lower down, shift your weight forward and transition into a cobra pose by straightening your arms and lifting your chest up.",Reverse the movement by bending your elbows and lowering your chest back down towards the ground.,Push through your hands to return to the inverted V position.,triceps,"Continue the movement by lowering your hips back down towards the ground, returning to the starting push-up position.",Repeat for the desired number of repetitions.,,,,,,
chest,body weight,1306_plyo_push_up,plyo push up,pectorals,triceps,shoulders,Start in a high plank position with your hands slightly wider than shoulder-width apart.,"Lower your chest towards the ground by bending your elbows, keeping your body in a straight line.","Push explosively off the ground, using your chest muscles to propel your upper body off the ground.",Land softly with your hands back in the starting position.,Repeat for the desired number of repetitions.,,core,,,,,,,,
waist,body weight,1687_posterior_step_to_overhead_reach,posterior step to overhead reach,abs,glutes,hamstrings,Stand with your feet hip-width apart and your arms by your sides.,"Take a step back with your right foot, landing on the ball of your foot.",Bend your left knee and lower your body into a lunge position.,"As you lower into the lunge, simultaneously reach your arms overhead.","Pause for a moment at the bottom of the lunge, then return to the starting position by pushing through your left heel and bringing your right foot forward.","Repeat the movement on the other side, stepping back with your left foot and bending your right knee.",quadriceps,Continue alternating sides for the desired number of repetitions.,,shoulders,,,,,
lower legs,rope,1389_posterior_tibialis_stretch,posterior tibialis stretch,calves,hamstrings,quadriceps,Sit on the ground with your legs extended in front of you.,Loop the rope around the ball of your foot and hold the ends of the rope with your hands.,"Gently pull the rope towards you, flexing your foot and stretching your calf muscles.",Hold the stretch for 20-30 seconds.,Release the tension on the rope and relax your foot.,Repeat the stretch on the other leg.,,,,,,,,,
waist,body weight,3119_potty_squat,potty squat,abs,quadriceps,glutes,"Stand with your feet shoulder-width apart, toes pointing slightly outward.",Lower your body down by bending your knees and pushing your hips back as if you were sitting on a chair.,Keep your chest up and your back straight throughout the movement.,Lower yourself until your thighs are parallel to the ground or as low as you can comfortably go.,"Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,body weight,3132_potty_squat_with_support,potty squat with support,glutes,quadriceps,hamstrings,"Stand with your feet shoulder-width apart, toes pointing slightly outward.","Hold onto a stable support, such as a chair or wall, for balance.",Lower your body down into a squat position by bending your knees and pushing your hips back.,Keep your chest up and your back straight throughout the movement.,"Pause for a moment at the bottom, then push through your heels to return to the starting position.",Repeat for the desired number of repetitions.,calves,,,,,,,,
upper legs,barbell,0648_power_clean,power clean,hamstrings,glutes,quadriceps,"Start with the barbell on the ground in front of you, with your feet shoulder-width apart.","Bend down and grip the barbell with an overhand grip, slightly wider than shoulder-width apart.","Keep your back straight and chest up as you lift the barbell off the ground, extending your hips and knees.","As the barbell reaches your mid-thigh, explosively pull it upwards, shrugging your shoulders and pulling your elbows high and to the sides.","As the barbell reaches its highest point, quickly drop underneath it, rotating your elbows around and catching the barbell on your shoulders in a front squat position.","Stand up with the barbell, fully extending your hips and knees.",calves,"Lower the barbell back down to the starting position, keeping control of the weight throughout the movement.",Repeat for the desired number of repetitions.,,,,,,
waist,body weight,3665_power_point_plank,power point plank,abs,shoulders,triceps,Start in a high plank position with your hands directly under your shoulders and your body in a straight line from head to toe.,Engage your core and squeeze your glutes to maintain a stable position.,"Lower your body down onto your forearms, one arm at a time, maintaining a straight line from head to toe.","Hold this position for the desired amount of time, keeping your core and glutes engaged.","To return to the starting position, push through your forearms and lift your body back up into a high plank position.",Repeat for the desired number of repetitions.,glutes,,,,,,,,
waist,body weight,3203_prisoner_half_sit_up_male,prisoner half sit-up (male),abs,hip flexors,,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,stability ball,1707_prone_twist_on_stability_ball,prone twist on stability ball,abs,obliques,lower back,Start by lying face down on a stability ball with your feet shoulder-width apart and your toes touching the ground.,Place your hands behind your head or cross them over your chest.,"Engage your core muscles and slowly lift your upper body off the ball, keeping your back straight.","Rotate your torso to one side, bringing your shoulder towards your hip. Keep your hips and legs stable throughout the movement.","Pause for a moment, then return to the starting position.",Repeat the rotation to the other side.,,Continue alternating sides for the desired number of repetitions.,,,,,,,
back,body weight,0651_pull_up_neutral_grip,pull up (neutral grip),lats,biceps,forearms,Hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended.,Engage your core and squeeze your shoulder blades together.,Pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips.,Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position with control.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,stability ball,0650_pull_in_on_stability_ball,pull-in (on stability ball),abs,hip flexors,,Start by sitting on the stability ball with your feet flat on the ground and your knees bent at a 90-degree angle.,Place your hands on the sides of the stability ball for support.,"Engage your abs and slowly roll your hips forward, bringing your knees towards your chest.","Pause for a moment at the top of the movement, then slowly extend your legs back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,body weight,0652_pull_up,pull-up,lats,biceps,forearms,Hang from a pull-up bar with your palms facing away from you and your arms fully extended.,Engage your core and squeeze your shoulder blades together.,Pull your body up towards the bar by bending your elbows and bringing your chest towards the bar.,"Pause at the top of the movement, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,body weight,1689_push_and_pull_bodyweight,push and pull bodyweight,pectorals,triceps,deltoids,Start in a push-up position with your hands slightly wider than shoulder-width apart and your body in a straight line.,"Lower your chest towards the ground by bending your elbows, keeping your body straight.",Push through your palms to extend your arms and return to the starting position.,"From the push-up position, pull your chest towards the ground by bending your elbows, keeping your body straight.",Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
cardio,body weight,3638_push_to_run,push to run,cardiovascular system,quadriceps,hamstrings,Start in a push-up position with your hands shoulder-width apart and your body in a straight line.,"Lower your chest towards the ground by bending your elbows, keeping your body straight.",Push through your hands to extend your arms and return to the starting position.,"Quickly bring one knee towards your chest, then quickly switch and bring the other knee towards your chest.",Continue alternating knees as fast as you can while maintaining good form.,Continue for the desired duration or number of repetitions.,calves,,,,,,,,
chest,bosu ball,1307_push_up_on_bosu_ball,push up on bosu ball,pectorals,triceps,shoulders,Place the bosu ball on the ground with the flat side facing up.,Position yourself in a push-up position with your hands on the outer edges of the bosu ball.,Engage your core and lower your body down towards the bosu ball by bending your elbows.,Push yourself back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,core,,,,,,,,
chest,body weight,0662_push_up,push-up,pectorals,triceps,deltoids,Start in a high plank position with your hands slightly wider than shoulder-width apart and your feet together.,"Engage your core and lower your body towards the ground by bending your elbows, keeping your body in a straight line.","Pause for a moment when your chest is just above the ground, then push yourself back up to the starting position by straightening your arms.",Repeat for the desired number of repetitions.,,,core,,,,,,,,
chest,bosu ball,0653_push_up_bosu_ball,push-up (bosu ball),pectorals,triceps,shoulders,Place the bosu ball on the ground with the flat side facing up.,Position yourself in a push-up position with your hands on the outer edges of the bosu ball.,Engage your core and lower your body down towards the bosu ball by bending your elbows.,Push yourself back up to the starting position by extending your arms.,Repeat for the desired number of repetitions.,,core,,,,,,,,
chest,stability ball,0655_push_up_on_stability_ball,push-up (on stability ball),pectorals,triceps,shoulders,"Place the stability ball on the ground and position yourself facing down with your hands on the ball, shoulder-width apart.","Extend your legs straight out behind you, balancing on your toes.","Engage your core and lower your chest towards the ball by bending your elbows, keeping your body in a straight line.","Pause for a moment at the bottom, then push yourself back up to the starting position by straightening your arms.",Repeat for the desired number of repetitions.,,core,,,,,,,,
chest,stability ball,0656_push_up_on_stability_ball,push-up (on stability ball),pectorals,triceps,shoulders,"Place the stability ball on the ground and position yourself facing down with your hands on the ball, shoulder-width apart.","Extend your legs straight out behind you, balancing on your toes.","Engage your core and lower your chest towards the ball by bending your elbows, keeping your body in a straight line.","Pause for a moment at the bottom, then push yourself back up to the starting position by straightening your arms.",Repeat for the desired number of repetitions.,,core,,,,,,,,
chest,body weight,0659_push_up_wall,push-up (wall),pectorals,triceps,deltoids,"Stand facing a wall, about arm's length away.","Place your hands on the wall at shoulder height, slightly wider than shoulder-width apart.","Step back a few feet, keeping your body straight and your feet hip-width apart.","Bend your elbows and lower your chest towards the wall, keeping your body in a straight line.","Push back up to the starting position, straightening your arms.",Repeat for the desired number of repetitions.,,,,,,,,,
chest,body weight,0658_push_up_wall_v_2,push-up (wall) v. 2,pectorals,triceps,shoulders,"Stand facing a wall, about arm's length away.","Place your hands on the wall at shoulder height, slightly wider than shoulder-width apart.","Step back with your feet, keeping them hip-width apart.",Engage your core and keep your body in a straight line from head to heels.,"Bend your elbows and lower your chest towards the wall, keeping your body straight.","Pause for a moment, then push yourself back to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper arms,dumbbell,0660_push_up_close_grip_off_dumbbell,push-up close-grip off dumbbell,triceps,chest,shoulders,"Start in a push-up position with your hands placed close together, directly under your shoulders.","Hold a dumbbell in each hand, resting them on the ground.","Lower your body towards the ground by bending your elbows, keeping them close to your sides.",Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,body weight,0661_push_up_inside_leg_kick,push-up inside leg kick,glutes,quadriceps,hamstrings,Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together.,"Lower your body towards the ground by bending your elbows, keeping your back straight and your core engaged.","As you push back up, lift one leg off the ground and kick it out to the side, keeping it straight.","Lower your leg back down and repeat the push-up, then switch to the other leg.",Continue alternating leg kicks with each push-up repetition.,,calves,,,core,,,,,
chest,medicine ball,0663_push_up_medicine_ball,push-up medicine ball,pectorals,triceps,shoulders,"Start in a high plank position with your hands on the medicine ball, shoulder-width apart.","Engage your core and lower your body towards the ground by bending your elbows, keeping your back straight.",Push through your palms to extend your arms and return to the starting position.,Repeat for the desired number of repetitions.,,,core,,,,,,,,
upper arms,body weight,1467_push_up_on_lower_arms,push-up on lower arms,triceps,chest,shoulders,Start in a plank position with your forearms on the ground and elbows directly below your shoulders.,Engage your core and keep your body in a straight line from head to toe.,"Lower your chest towards the ground by bending your elbows, keeping them close to your body.","Pause for a moment at the bottom, then push yourself back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,body weight,3145_push_up_plus,push-up plus,pectorals,triceps,shoulders,Start in a high plank position with your hands slightly wider than shoulder-width apart and your body in a straight line from head to heels.,"Lower your body towards the ground by bending your elbows, keeping them close to your sides.","Once your chest is just above the ground, push through your hands to extend your arms and lift your upper body up.","At the top of the movement, protract your shoulder blades by pushing your upper back towards the ceiling.","Pause for a moment, then reverse the movement by retracting your shoulder blades and lowering your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,body weight,0664_push_up_to_side_plank,push-up to side plank,abs,shoulders,chest,Start in a push-up position with your hands shoulder-width apart and your body in a straight line.,"Lower your body towards the ground by bending your elbows, keeping your core engaged.",Push back up to the starting position.,"Shift your weight onto your left hand and rotate your body to the right, lifting your right arm towards the ceiling.","Hold the side plank position for a few seconds, then return to the starting position.",Repeat the push-up and side plank on the opposite side.,triceps,Continue alternating sides for the desired number of repetitions.,,,,,,,
upper legs,body weight,3533_quads,quads,quads,hamstrings,glutes,Stand with your feet shoulder-width apart.,Lower your body by bending your knees and pushing your hips back as if sitting on a chair.,Keep your chest up and your back straight.,Lower yourself until your thighs are parallel to the ground.,Push through your heels to return to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
waist,body weight,3201_quarter_sit_up,quarter sit-up,abs,hip flexors,,Lie flat on your back with your knees bent and feet flat on the ground.,Place your hands behind your head with your elbows pointing outwards.,"Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.","Pause for a moment at the top, then slowly lower your upper body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,body weight,3552_quick_feet_v_2,quick feet v. 2,quads,calves,hamstrings,Stand with your feet shoulder-width apart and your arms by your sides.,"Begin by rapidly moving your feet up and down, as if you were running in place.","Keep your movements quick and light, focusing on staying on the balls of your feet.",Continue for the desired duration or number of repetitions.,,,,,,,,,,,
chest,body weight,0666_raise_single_arm_push_up,raise single arm push-up,pectorals,triceps,shoulders,Start in a push-up position with your hands slightly wider than shoulder-width apart and your feet together.,"Extend one arm straight out to the side, parallel to the ground.","Lower your body towards the ground by bending your elbows, keeping your back straight and core engaged.","Push back up to the starting position, using your chest muscles to lift your body.",Repeat with the other arm extended.,,core,,,,,,,,
upper legs,body weight,0668_rear_decline_bridge,rear decline bridge,glutes,hamstrings,lower back,Lie on your back with your feet flat on the ground and your knees bent.,Place your arms by your sides with your palms facing down.,"Engage your glutes and hamstrings, and lift your hips off the ground until your body forms a straight line from your knees to your shoulders.","Hold this position for a few seconds, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,body weight,0669_rear_deltoid_stretch,rear deltoid stretch,delts,trapezius,rhomboids,Stand tall with your feet shoulder-width apart.,"Extend your right arm across your chest, placing your left hand on your right elbow.","Gently pull your right arm towards your left shoulder, feeling a stretch in your right shoulder.","Hold the stretch for 15-30 seconds, then release.",Repeat on the other side.,,,,,,,,,,
back,body weight,0670_rear_pull_up,rear pull-up,lats,biceps,forearms,"Grab the pull-up bar with an overhand grip, slightly wider than shoulder-width apart.",Hang from the bar with your arms fully extended and your body straight.,"Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body.",Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,rope,1582_reclining_big_toe_pose_with_rope,reclining big toe pose with rope,hamstrings,calves,glutes,Lie on your back with your legs extended and your arms by your sides.,Loop the rope around the ball of your right foot and hold the ends of the rope with your hands.,"Slowly raise your right leg towards your chest, keeping your knee straight and your foot flexed.","Hold the stretch for a few seconds, then slowly lower your leg back down to the starting position.",Repeat with your left leg.,Continue alternating legs for the desired number of repetitions.,,,,,,,,,
upper legs,resistance band,3236_resistance_band_hip_thrusts_on_knees_female,resistance band hip thrusts on knees (female),glutes,hamstrings,quadriceps,Start by kneeling on the ground with your knees hip-width apart and your feet flexed.,"Wrap the resistance band around your thighs, just above your knees.",Place your hands on your hips or extend them out in front of you for balance.,Engage your glutes and core muscles.,"Push your hips forward and squeeze your glutes as you lift your knees off the ground, extending your hips until your thighs are parallel to the ground.","Hold the position for a moment, then slowly lower your knees back down to the starting position.",,Repeat for the desired number of repetitions.,,,,,,,
upper legs,resistance band,3007_resistance_band_leg_extension,resistance band leg extension,quads,hamstrings,,Attach the resistance band to a sturdy anchor point and secure it around your ankle.,Stand facing the anchor point with your feet shoulder-width apart.,"Keeping your core engaged and your upper body stable, extend your leg straight out in front of you.","Pause for a moment at the top, then slowly return your leg to the starting position.","Repeat for the desired number of repetitions, then switch legs.",,,,,,,,,,
upper arms,resistance band,3123_resistance_band_seated_biceps_curl,resistance band seated biceps curl,biceps,forearms,,Sit on a chair or bench with your back straight and feet flat on the ground.,"Hold the resistance band with an underhand grip, palms facing up, and arms extended down by your sides.","Keeping your upper arms stationary, exhale and curl the resistance band up towards your shoulders.","Pause for a moment at the top, squeezing your biceps.",Inhale and slowly lower the resistance band back to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
chest,resistance band,3124_resistance_band_seated_chest_press,resistance band seated chest press,pectorals,shoulders,triceps,Sit on a chair or bench with your back straight and feet flat on the ground.,"Hold the resistance band handles in each hand, with your palms facing down and elbows bent at a 90-degree angle.","Extend your arms forward, pushing the resistance band away from your chest.","Pause for a moment at the end of the movement, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,resistance band,3006_resistance_band_seated_hip_abduction,resistance band seated hip abduction,abductors,glutes,hamstrings,Sit on a chair or bench with your back straight and feet flat on the ground.,"Wrap the resistance band around your thighs, just above your knees.",Place your hands on the sides of the chair or bench for support.,"Engage your abductors (outer thigh muscles) and slowly push your knees apart, against the resistance of the band.","Pause for a moment at the end of the movement, then slowly bring your knees back together.",Repeat for the desired number of repetitions.,,,,,,,,,
shoulders,resistance band,3122_resistance_band_seated_shoulder_press,resistance band seated shoulder press,delts,triceps,upper back,Sit on a chair or bench with your back straight and feet flat on the ground.,"Hold the resistance band with both hands, palms facing forward, and bring it up to shoulder level.","Press the band overhead, extending your arms fully.","Pause for a moment at the top, then slowly lower the band back down to shoulder level.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,resistance band,3144_resistance_band_seated_straight_back_row,resistance band seated straight back row,upper back,biceps,shoulders,Sit on the floor with your legs extended and loop the resistance band around your feet.,"Hold the ends of the resistance band with your hands, palms facing each other.","Keep your back straight and lean slightly back, engaging your core.","Pull the resistance band towards your chest, squeezing your shoulder blades together.","Pause for a moment at the top, then slowly release the tension and return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,body weight,0872_reverse_crunch,reverse crunch,abs,hip flexors,,Lie flat on your back with your arms extended along your sides.,"Bend your knees and lift your feet off the ground, bringing your thighs perpendicular to the floor.","Contract your abs and curl your hips off the floor, bringing your knees towards your chest.","Pause for a moment at the top, then slowly lower your hips back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper arms,body weight,0672_reverse_dip,reverse dip,triceps,chest,shoulders,Position yourself between two parallel bars with your arms fully extended and your body straight.,Lower your body by bending your elbows until your upper arms are parallel to the ground.,"Pause for a moment, then push yourself back up to the starting position by straightening your arms.",Repeat for the desired number of repetitions.,,,,,,,,,,,
back,leverage machine,0673_reverse_grip_machine_lat_pulldown,reverse grip machine lat pulldown,lats,biceps,forearms,Adjust the seat height and position yourself on the machine with your knees under the pads and your feet flat on the ground.,"Grasp the handles with an underhand grip, slightly wider than shoulder-width apart.","Sit upright with your chest out and shoulders back, maintaining a slight arch in your lower back.","Pull the handles down towards your chest, squeezing your shoulder blades together.","Pause for a moment at the bottom of the movement, then slowly release the handles back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,body weight,0674_reverse_grip_pull_up,reverse grip pull-up,lats,biceps,forearms,"Grab the pull-up bar with an underhand grip, hands shoulder-width apart.",Hang from the bar with your arms fully extended and your body straight.,"Engage your back muscles and pull your body up towards the bar, leading with your chest.",Continue pulling until your chin is above the bar.,"Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
upper legs,stability ball,0675_reverse_hyper_extension_on_stability_ball,reverse hyper extension (on stability ball),glutes,hamstrings,lower back,Lie face down on a stability ball with your hips resting on the ball and your legs extended straight behind you.,Place your hands on the ground in front of you for stability.,"Engaging your glutes and hamstrings, lift your legs up towards the ceiling as high as you can.","Pause for a moment at the top, then slowly lower your legs back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,body weight,1423_reverse_hyper_on_flat_bench,reverse hyper on flat bench,glutes,hamstrings,lower back,Lie face down on a flat bench with your hips at the edge and your legs hanging off the bench.,Hold onto the bench for stability.,"Keeping your legs straight, raise them up towards the ceiling as high as you can.",Squeeze your glutes at the top of the movement.,Slowly lower your legs back down to the starting position.,Repeat for the desired number of repetitions.,,,,,,,,,
waist,body weight,3663_reverse_plank_with_leg_lift,reverse plank with leg lift,abs,glutes,hamstrings,"Sit on the ground with your legs extended in front of you and your hands resting on the ground behind you, fingers pointing towards your feet.","Press through your hands and lift your hips off the ground, coming into a reverse plank position.","Engage your core and lift one leg off the ground, extending it straight up towards the ceiling.","Hold for a moment, then lower your leg back down.",Repeat with the other leg.,Continue alternating legs for the desired number of repetitions.,shoulders,,,,,,,,
upper arms,body weight,0677_ring_dips,ring dips,triceps,chest,shoulders,Start by hanging from the rings with your arms fully extended and your body straight.,Lower your body by bending your elbows until your shoulders are below your elbows.,Push yourself back up to the starting position by straightening your arms.,Repeat for the desired number of repetitions.,,,,,,,,,,,
upper legs,body weight,2571_rocking_frog_stretch,rocking frog stretch,glutes,hamstrings,quadriceps,Start by kneeling on the ground with your knees hip-width apart.,Place your hands on the ground in front of you for support.,"Slowly lean forward, shifting your weight onto your hands and extending your legs behind you.",Keep your back straight and engage your glutes as you push your hips back and up towards the ceiling.,"Hold this position for a few seconds, feeling a stretch in your glutes.",Slowly return to the starting position by bending your knees and lowering your hips back down.,,Repeat for the desired number of repetitions.,,,,,,,
back,body weight,0678_rocky_pull_up_pulldown,rocky pull-up pulldown,lats,biceps,forearms,Stand in front of a pull-up bar with your feet shoulder-width apart.,"Reach up and grab the bar with an overhand grip, slightly wider than shoulder-width apart.",Hang from the bar with your arms fully extended and your body straight.,"Engage your back muscles and pull your body up towards the bar, leading with your chest.","Pause for a moment at the top, then slowly lower your body back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
back,roller,2208_roller_back_stretch,roller back stretch,spine,hamstrings,glutes,Start by sitting on the ground with your legs extended in front of you.,"Place the roller perpendicular to your body, just below your glutes.","Slowly roll your body backwards, allowing the roller to move up your back.",Continue rolling until the roller reaches your upper back.,"Pause for a moment, then slowly roll back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,roller,2204_roller_body_saw,roller body saw,abs,shoulders,triceps,Start in a plank position with your forearms on the roller and your body in a straight line.,"Engage your core and slowly roll the roller forward, extending your body as far as you can while maintaining control.","Pause for a moment at the furthest point, then slowly roll the roller back towards your starting position.",Repeat for the desired number of repetitions.,,,core,,,,,,,,
upper legs,roller,2205_roller_hip_lat_stretch,roller hip lat stretch,glutes,hamstrings,quadriceps,Start by kneeling on the ground with the roller positioned under your hips.,Place your hands on the roller for support.,"Slowly roll the roller forward, extending your hips and stretching your glutes.","Hold the stretch for a few seconds, then roll back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
upper legs,roller,2202_roller_hip_stretch,roller hip stretch,glutes,hamstrings,quadriceps,Start by sitting on the ground with your legs extended in front of you.,"Place the roller under your glutes, just above your knees.",Lean back and place your hands on the ground behind you for support.,"Engage your glutes and slowly roll the roller forward, bending your knees and bringing them towards your chest.","Pause for a moment at the end of the movement, feeling a stretch in your glutes.","Slowly roll the roller back to the starting position, extending your legs.",,Repeat for the desired number of repetitions.,,,,,,,
waist,roller,2206_roller_reverse_crunch,roller reverse crunch,abs,hip flexors,,Lie flat on your back with your arms extended straight above your head and your legs straight out in front of you.,Place the roller between your feet and grip it with your toes.,"Engaging your abs, lift your legs off the ground and curl your knees towards your chest, rolling the roller towards your body.","Pause for a moment at the top, then slowly lower your legs back down to the starting position, rolling the roller away from your body.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,roller,2203_roller_seated_shoulder_flexor_depresor_retractor,roller seated shoulder flexor depresor retractor,pectorals,deltoids,triceps,Sit on a flat surface with your legs extended in front of you.,"Hold the roller with both hands, palms facing down, and place it on your thighs.","Lean forward slightly and roll the roller away from your body, extending your arms straight in front of you.","Pause for a moment, then slowly roll the roller back towards your body, bending your arms and bringing the roller back to your thighs.",Repeat for the desired number of repetitions.,,,,,,,,,,
chest,roller,2209_roller_seated_single_leg_shoulder_flexor_depresor_retractor,roller seated single leg shoulder flexor depresor retractor,pectorals,deltoids,triceps,Sit on a flat surface with your legs extended in front of you.,"Hold the roller with both hands, palms facing down, and place it on your thighs.",Lean back slightly and engage your core muscles.,"Raise the roller up to shoulder level, keeping your arms straight.",Slowly lower the roller back down to your thighs.,Repeat for the desired number of repetitions.,,,,,,,,,
back,roller,2207_roller_side_lat_stretch,roller side lat stretch,lats,shoulders,triceps,Stand with your feet shoulder-width apart and hold the roller with both hands in front of your body.,"Bend your knees slightly and hinge forward at the hips, keeping your back straight.","Extend your arms forward and roll the roller down towards your feet, feeling a stretch in your lats.","Hold the stretch for a few seconds, then slowly roll the roller back up to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
back,rope,0680_rope_climb,rope climb,upper back,forearms,biceps,Stand facing the rope with your feet shoulder-width apart.,"Grab the rope with both hands, palms facing towards you.",Bend your knees slightly and engage your core.,Begin pulling yourself up the rope by alternating hand-over-hand movements.,Use your legs to assist in the upward movement.,Continue climbing until you reach the desired height or the top of the rope.,shoulders,"To descend, reverse the hand-over-hand movement while controlling your descent.",Repeat for the desired number of repetitions.,,,,,,
cardio,body weight,0685_run,run,cardiovascular system,quadriceps,hamstrings,Start by standing upright with your feet hip-width apart.,Engage your core and keep your upper body relaxed.,"Begin jogging in place, lifting your knees up towards your chest and landing softly on the balls of your feet.",Maintain a steady pace and continue jogging for the desired duration or distance.,Remember to breathe deeply and maintain good posture throughout the exercise.,,calves,,,,,,,,
